oln_id,1B,2F,2I,3F,3G,4E,4I,5C,5G,8A,9D,9E,10B,10D,10F,10G,10H,10I
Q0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q0110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL001C,1126,1219,890,833,1049,994,1239,1022,870,926,971,1011,2974,3753,4519,3737,3581,5026
YAL002W,779,807,597,568,666,690,829,697,635,570,612,739,2376,3090,3523,3044,2876,3992
YAL003W,10150,11090,9071,12132,9105,8990,13149,9973,14071,12420,9964,10593,39391,45674,38381,39158,46719,41798
YAL004W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL005C,19709,13640,10902,11707,18872,14969,23788,11891,11091,11485,14978,13386,25533,12981,30979,12566,32063,36529
YAL007C,1881,1360,909,1354,2473,1186,2234,1116,1429,1461,1119,1225,4669,4646,5587,4731,5517,6267
YAL008W,1052,816,668,704,1079,775,1138,669,665,725,675,771,1049,1449,2092,1358,1315,2404
YAL009W,415,462,413,377,480,451,489,453,373,374,428,508,1054,1263,1236,1158,1244,1395
YAL010C,381,250,223,305,348,267,404,241,312,295,241,290,961,1102,1183,1092,1133,1327
YAL011W,453,408,315,364,328,374,432,346,404,413,324,447,1303,1616,1554,1559,1565,1712
YAL012W,2686,1817,1381,2234,2764,1509,3246,1595,2460,2375,1869,1587,13900,11049,14693,10864,14246,16158
YAL013W,719,721,528,455,599,570,746,598,594,628,631,662,2114,2470,2787,2274,2183,2861
