Gene	WT_SWI_SNF_1	WT_SWI_SNF_2	WT_SWI_SNF_3	dSwp82_1	dSwp82_2	dSwp82_3	dSnf2_1	dSnf2_2	dSnf2_3	dSnf5_1	dSnf5_2	dSnf5_3
YOR290C	103.0546674	96.96193645	92.68198235	128.9812994	127.2881588	143.3967145	0.493018059	0.741792516	0.712351097	157.1256932	161.5790075	141.0091126
YDL227C	161.8213785	153.7768232	176.2916461	167.4638586	167.0874646	157.2263566	7.230931533	9.550578643	8.72630094	5.095968428	7.978078121	7.055097143
YIL121W	128.1795656	128.133997	117.321575	113.0940043	102.4571051	141.4350631	3.779805119	3.70896258	4.096018809	2.076135285	1.7423389	2.227925414
YER081W	78.6111223	84.86172785	74.02187245	87.9096995	87.02472117	88.66664152	1179.792215	1264.292619	1251.511834	144.3857721	122.2388291	149.4566632
YCL018W	56.97815907	56.33408374	55.25866801	0	0	0	0	0	0	78.61003148	56.94697142	88.46720497
YML123C	81.59204243	95.75992897	109.7956743	5.884183367	5.801648078	9.514009101	0.575187736	0.370896258	0.712351097	0.471848928	0.733616379	0.928302256
YGR234W	694.9802361	755.3414983	804.6528056	777.1829391	870.5953106	1003.090423	47.65841238	54.52174992	49.77553291	34.25623221	36.31401076	43.53737579
YGR035C	107.483463	131.1790826	124.4350976	194.0603674	249.0067355	230.6902	7.806119268	8.345165804	9.082476489	5.47344757	6.144037174	9.00453188
YDR033W	1307.3464	1410.836242	1284.248559	999.016652	1178.082659	1111.275496	142.4000494	126.1974518	136.2371473	122.1145027	148.3739127	138.1313756
YOL109W	848.3698691	935.8830213	952.6965505	838.8491808	909.5823857	969.0557723	76.00695077	95.13489017	94.56460815	36.89858621	43.83357864	34.25435323
YJR010W	59.36289517	56.01354841	57.93912579	61.66624168	62.1936674	59.73228394	493.0180591	469.8328348	527.1398119	532.81181	555.2558968	700.5897124
YBR244W	118.555452	112.6681675	107.7337837	219.3623559	241.9287249	164.7787143	14.37969339	12.42502464	12.64423197	10.94689514	11.46275592	12.06792932
YLR092W	18.48170481	21.79640224	18.66010991	19.77085611	19.14543866	17.85102738	174.8570716	135.6553063	173.546536	105.3166808	130.1252052	153.912514
YCR018C	45.48032428	53.93006878	52.99058835	58.60646633	61.03333778	54.04349499	4.683671561	4.450755096	6.2330721	5.47344757	6.235739221	9.283022557
YDR019C	97.85934943	86.62467215	84.43441996	41.18928357	40.37947062	38.15411897	17.17346239	17.15395193	19.4115674	18.02462907	20.72466271	23.76453775
YGR110W	5.876671114	5.609368224	4.020686665	2.471357014	2.900824039	2.059733929	45.93284917	42.65306967	40.78210031	40.10715892	43.65017455	34.44001369
YLL028W	74.7785107	88.46775028	70.4135639	58.018048	64.16622774	63.16517382	14.54403274	14.92857438	15.9388558	11.41874407	14.21381734	14.48151519
YER011W	125.4541529	113.0688366	147.9406504	133.9240134	137.8471583	238.8310532	7.313101209	7.603373288	7.835862069	8.965129641	7.33616379	5.66264376
YGR224W	22.99566958	20.4341271	24.02102546	22.94831513	16.70874646	17.75294482	1.64339353	0.927240645	0.801394984	0.566218714	1.283828663	1.299623158
YMR008C	257.381161	251.7804994	251.3444638	273.7322102	267.6880423	249.6201357	59.49084579	52.7599927	51.55641066	56.24439227	49.70250968	46.69360346
YIL169C	2.214397811	1.923211963	2.061890597	2.000622345	2.088593308	2.255899065	19.80289204	21.04836264	18.25399686	14.91042614	15.58934805	15.40981744
YEL065W	156.9667372	149.9303992	176.8071187	161.9327263	124.8514666	138.1002558	16.4339353	21.4192589	21.63766458	23.96992557	23.20061799	36.76076933
YPL025C	1.533044639	2.163613458	1.855701538	2.824408016	2.436692193	2.942477041	24.73307263	19.8429498	21.4595768	14.72168657	19.25742995	17.35925218
YNL277W	19.16305798	16.26716785	18.45392085	23.7721008	18.79733977	17.85102738	188.9080863	140.5696818	164.3750157	104.7504621	143.4220021	184.2679978
YOL104C	14.56392407	16.74797084	14.12395059	22.35989679	25.87535043	20.40117415	0.739527089	1.019964709	0.62330721	0.566218714	0.641914332	1.763774286
YBL005W-B	43.09558817	52.72806131	49.48537434	35.54046753	32.37319628	32.8576603	9.449512799	11.77595619	8.72630094	9.720087927	10.82084159	11.23245729
YMR303C	2.214397811	2.884817944	2.886646836	2.118306012	3.71305477	2.353981633	24.24005457	25.31366961	22.97332288	14.72168657	20.35785452	15.87396857
YGL158W	2.895750984	3.045085607	3.608308545	4.471979359	5.569582155	6.179201787	23.66486683	27.53904715	24.48706896	18.40210821	24.5761487	25.52831203
YHL040C	116.1707159	111.7065615	141.445695	100.5018519	108.4908191	93.27652221	35.16862155	35.32786857	36.06277429	32.84068542	30.99529201	35.18265549
YGR087C	0.936860612	1.442408972	1.443323418	2.118306012	0.696197769	0.784660544	14.29752371	18.17391664	18.61017241	6.605884999	5.2270167	5.198492632
YMR045C	27.33929605	32.85487103	29.6912246	23.30136613	20.42180123	21.28391727	5.258859297	6.212512321	6.945423197	5.756556927	6.419143316	7.704908722
YFR055W	104.6728812	115.3125839	111.4451868	57.07657866	78.43828201	68.95204534	24.81524231	26.05546212	27.6926489	19.44017585	25.58487122	29.24152105
YBR054W	89.42760391	74.92513271	59.27935468	24.00746814	14.85221908	13.73155953	6.491404444	8.25244174	9.082476489	2.831093571	2.384253232	2.599246316
YDR277C	65.32473543	57.93676037	64.02170305	30.95080451	29.82047112	34.23081625	18.32383786	20.77019045	19.67869906	25.85732128	28.61103878	24.97133068
YGR044C	105.0987269	109.7833495	103.6100025	104.3854129	94.79892959	78.36797187	30.97796804	29.02263219	30.54205329	54.7344757	48.7854892	42.33058286
YIR017C	10.39063588	7.69284785	10.61873658	11.29763206	8.122307309	10.88716505	60.1482032	46.64020444	58.32374608	47.4680022	53.00378338	65.90946015
YOR049C	13.45672516	12.74127925	16.28893572	9.532377054	8.354373232	13.53539439	0.739527089	0.741792516	1.068526646	0.188739571	0.366808189	0.278490677
YLR227W-B	29.8092013	33.97674467	33.8150058	37.30572254	44.78872316	38.54644924	6.902252827	5.563443869	5.164545454	4.624119499	5.502122842	8.076229624
YNR060W	4.343626476	5.849769719	5.464010083	9.061642385	9.514702848	10.88716505	21.77496428	25.22094554	23.50758621	29.34900335	30.90358996	33.4188812
YLR346C	18.05585908	20.27385944	23.40245828	16.71108076	13.80792243	11.27949533	1.972072236	2.781721935	3.205579937	1.793025928	2.017445042	2.227925414
YER001W	155.1781851	159.2259237	146.3942324	122.5086977	111.8557749	117.1105862	55.87538003	61.38333069	54.58390282	31.89698756	34.38826776	31.09812557
