ORF name	transcript length	rpkm
Q0080	47	0
Q0085	680	0
Q0105	7008	1.007787727
Q0110	415	1.260611582
Q0130	131	33.94509432
Q0140	1097	6.1996349
Q0160	608	0
Q0250	656	0.797490559
Q0255	1390	0.094092411
Q0275	710	0
YAL001C	3383	11.63680873
YAL002W	3725	3.651543348
YAL003W	521	1845.849299
YAL007C	548	151.0749815
YAL008W	497	36.57866153
YAL009W	680	28.08104991
YAL010C	1382	3.596209235
YAL011W	1778	8.45932055
YAL012W	1085	123.6764529
YAL013W	1118	10.87954025
YAL014C	668	30.73920196
YAL015C	1100	13.67333813
YAL016W	1808	71.03664796
YAL017W	3971	7.641128376
YAL018C	878	0.14896179
YAL019W	3296	13.80897487
YAL020C	902	22.7647305
YAL021C	2414	6.013884893
YAL022C	1454	19.51932187
YAL023C	2180	45.47598456
YAL024C	4208	2.393229747
YAL025C	821	80.44843859
YAL026C	3968	10.64633818
YAL027W	686	16.39621989
YAL028W	1487	2.110909778
YAL029C	4316	18.18189782
YAL030W	254	60.75998935
YAL031C	2183	3.654647526
YAL032C	1040	11.31823139
YAL033W	422	134.5075545
YAL034C	1142	4.008402633
YAL034W-A	770	16.4759478
YAL035W	2909	96.84370053
YAL036C	1010	235.8076935
YAL037W	704	2.229348608
YAL038W	1403	4363.18851
YAL039C	710	18.42090868
YAL040C	1643	5.333430469
YAL041W	2465	7.109798183
YAL042W	1148	121.6742738
YAL043C	2258	7.298204122
YAL044C	413	277.0941772
YAL044W-A	233	56.69370651
YAL046C	257	42.23907193
YAL047C	1769	3.84454465
YAL048C	1889	1.453974317
YAL049C	641	68.35277894
YAL051W	3044	5.757441695
YAL053W	2252	11.61531542
YAL054C	2042	1.024787084
YAL055W	443	11.21887396
YAL056W	2543	9.926138878
YAL058W	1409	19.02883789
YAL059W	539	154.0828697
YAL060W	1049	81.1661411
YAL061W	1154	2.380032482
YAL062W	1274	6.056922015
YAL063C-A	191	0.684756291
YAL064W	185	0
YAL067C	1682	0.466546201
YAL067W-A	128	0
YAR002C-A	560	465.4667574
YAR002W	1520	14.79974584
YAR003W	1181	27.68595505
YAR007C	1766	16.81142612
YAR008W	728	25.51093425
YAR014C	2030	11.53257776
YAR015W	821	600.0975607
YAR018C	1208	21.11237423
YAR019C	2825	2.03705907
YAR020C	68	0
YAR023C	440	4.161450734
YAR027W	608	26.02862278
YAR028W	605	23.34735996
YAR029W	125	11.50938374
YAR035W	1964	1.864601144
YAR042W	3467	4.225066797
YBL001C	215	273.1349525
YBL004W	7382	10.84293314
YBL005W	2831	3.372503345
YBL006C	443	79.12258474
YBL007C	3635	12.05340613
YBL008W	2423	8.474530296
YBL008W-A	140	0
YBL009W	1931	9.075946411
YBL010C	743	12.14589928
YBL011W	2180	18.29838429
YBL013W	1106	0.473014292
YBL014C	2585	6.425583504
YBL015W	1481	17.9271139
YBL016W	962	26.64712736
YBL017C	4640	15.36200563
YBL018C	302	67.55959754
YBL019W	1463	7.330589907
YBL020W	1625	24.54798631
YBL021C	335	19.91107771
YBL022C	3302	16.95259155
YBL023C	2507	8.712274202
YBL024W	1955	71.71622515
YBL025W	338	25.5385734
YBL026W	188	96.69997222
YBL028C	221	269.2703416
YBL029C-A	185	37.46912398
YBL029W	1031	2.7908302
YBL030C	857	211.3675677
YBL031W	917	6.988695889
YBL032W	1046	98.02882035
YBL033C	938	24.26139721
YBL034C	4442	2.47326203
YBL035C	2018	8.360609644
YBL036C	674	155.6266146
YBL037W	2978	6.499896186
YBL038W	599	41.92217482
YBL039C	1640	313.5732877
YBL039W-B	80	17.9834121
YBL040C	560	95.28872905
YBL041W	626	102.1654199
YBL042C	1820	39.38025907
YBL043W	674	1.358337035
YBL044W	269	3.403416957
YBL045C	1274	22.79045233
YBL046W	1226	11.84136879
YBL047C	4046	7.887390559
YBL049W	317	1.650327466
YBL050W	779	170.746926
YBL051C	1907	4.1150011
YBL052C	2396	15.22954007
YBL054W	1478	17.69803135
YBL055C	1157	33.12101671
YBL056W	1307	74.45035044
YBL057C	527	125.5767676
YBL058W	1172	66.28697976
YBL059C-A	230	36.96195372
YBL059W	482	9.497086737
YBL060W	1964	10.0555276
YBL061C	1991	22.59730154
YBL063W	3236	2.263335381
YBL064C	686	53.95500265
YBL066C	3347	1.406747613
YBL067C	2144	19.45966235
YBL068W	881	69.17981665
YBL069W	1190	30.88365959
YBL071W-A	149	106.210756
YBL074C	968	4.053361105
YBL075C	1850	9.544022147
YBL076C	3119	108.2705297
YBL078C	254	11.84304877
YBL079W	4409	14.50568221
YBL080C	1526	4.542456053
YBL081W	1007	3.117103118
YBL082C	1277	19.35710052
YBL084C	2177	3.424410539
YBL085W	2843	6.532522031
YBL086C	1301	5.126987728
YBL088C	8264	1.835849515
YBL089W	1280	6.232887149
YBL090W	434	60.27117587
YBL091C	1166	102.6341623
YBL091C-A	428	15.58460522
YBL092W	293	4649.016122
YBL093C	563	56.68273925
YBL095W	713	27.33166801
YBL097W	2165	3.866263697
YBL098W	1283	45.46504243
YBL099W	1538	130.7884516
YBL100W-C	20	0
YBL101C	3254	1.366566489
YBL102W	548	94.27269781
YBL103C	1361	7.783882868
YBL104C	3017	9.14695502
YBL105C	3356	6.46927383
YBL106C	2933	3.12144276
YBL107C	491	37.29202287
YBR001C	2243	14.11092523
YBR002C	761	52.41849902
YBR003W	1322	16.0270266
YBR004C	1202	9.248767379
YBR005W	542	18.58064719
YBR006W	1394	6.755214145
YBR007C	2111	4.398853655
YBR008C	1547	12.5124052
YBR011C	764	826.5008436
YBR013C	290	37.43255685
YBR014C	512	51.60013131
YBR015C	1694	35.66957772
YBR016W	287	23.24115343
YBR017C	2657	36.67195953
YBR018C	1001	0.261315588
YBR019C	2000	0.523153807
YBR020W	1487	2.110909778
YBR021W	1802	5.516050125
YBR022W	434	30.13558794
YBR023C	3398	14.85707544
YBR024W	806	12.33240983
YBR025C	1085	382.7219668
YBR026C	1043	42.38398529
YBR028C	1478	22.91895059
YBR029C	1274	20.12130025
